agency_name,fiscal_year,total_budget
MANHATTAN COMMUNITY BOARD #2,2019,361849
MANHATTAN COMMUNITY BOARD #3,2019,382956
MANHATTAN COMMUNITY BOARD #4,2019,331180
MANHATTAN COMMUNITY BOARD #5,2019,319683
MANHATTAN COMMUNITY BOARD #6,2019,463387
MANHATTAN COMMUNITY BOARD #7,2019,329099
MANHATTAN COMMUNITY BOARD #8,2019,415304
MANHATTAN COMMUNITY BOARD #9,2019,371506
MAYORALTY,2019,137530528
MISCELLANEOUS,2019,9201291981
NEW YORK PUBLIC LIBRARY,2019,140115153
NEW YORK RESEARCH LIBRARIES,2019,28197334
NYC TAXI AND LIMOUSINE COMM,2019,48964179
OFFICE OF ADMINISTRATIVE TAX APPEALS,2019,5108117
OFFICE OF ADMIN TRIALS & HEARINGS,2019,46021552
OFFICE OF COLLECTIVE BARGAINING,2019,2456057
OFFICE OF PAYROLL ADMINISTRATION,2019,16865930
OFFICE OF PROSECUTION SPEC NARCO,2019,22372865
OFFICE OF THE ACTUARY,2019,7561242
OFFICE OF THE COMPTROLLER,2019,105831679
PENSION CONTRIBUTIONS,2019,9631998464
POLICE DEPARTMENT,2019,5889539378
PUBLIC ADMINISTRATOR-BRONX COUNTY,2019,724238
PUBLIC ADMINISTRATOR-KINGS COUNTY,2019,851906
PUBLIC ADMINISTRATOR-NEW YORK COUNTY,2019,2866146
PUBLIC ADMINISTRATOR- QUEENS COUNTY,2019,620661
PUBLIC ADMINISTRATOR-RICHMOND COUNTY,2019,524723
PUBLIC ADVOCATE,2019,3620990
QUEENS BOROUGH PUBLIC LIBRARY,2019,108472781
QUEENS COMMUNITY BOARD #1,2019,312225
QUEENS COMMUNITY BOARD #10,2019,282715
QUEENS COMMUNITY BOARD #11,2019,316640
QUEENS COMMUNITY BOARD #12,2019,293233
QUEENS COMMUNITY BOARD #13,2019,276770
QUEENS COMMUNITY BOARD #14,2019,263235
QUEENS COMMUNITY BOARD #2,2019,315612
QUEENS COMMUNITY BOARD #3,2019,332442
QUEENS COMMUNITY BOARD #4,2019,286314
QUEENS COMMUNITY BOARD #5,2019,272346
QUEENS COMMUNITY BOARD #6,2019,291475
QUEENS COMMUNITY BOARD #7,2019,323111
QUEENS COMMUNITY BOARD #8,2019,323295
QUEENS COMMUNITY BOARD #9,2019,236856
STATEN ISLAND COMMUNITY BOARD #1,2019,294385
STATEN ISLAND COMMUNITY BOARD #2,2019,281034
STATEN ISLAND COMMUNITY BOARD #3,2019,342990
ADMIN FOR CHILDREN'S SERVICES,2020,3297337707
BOARD OF CORRECTION,2020,2706042
BOARD OF ELECTIONS,2020,170885865
BOROUGH PRESIDENT BRONX,2020,6159713
BOROUGH PRESIDENT - BROOKLYN,2020,6934086
BOROUGH PRESIDENT - MANHATTAN,2020,5166490
BOROUGH PRESIDENT - QUEENS,2020,6497475
BOROUGH PRESIDENT STATEN ISLAND,2020,4670744
BRONX COMMUNITY BOARD #1,2020,353546
BRONX COMMUNITY BOARD #10,2020,361202
BRONX COMMUNITY BOARD #11,2020,347123
BRONX COMMUNITY BOARD #12,2020,293567
BRONX COMMUNITY BOARD #2,2020,344072
BRONX COMMUNITY BOARD #3,2020,352052
BRONX COMMUNITY BOARD #4,2020,301866
BRONX COMMUNITY BOARD #5,2020,289047
BRONX COMMUNITY BOARD #6,2020,288364
BRONX COMMUNITY BOARD #7,2020,349140
BRONX COMMUNITY BOARD #8,2020,346968
BRONX COMMUNITY BOARD #9,2020,358536
BROOKLYN COMMUNITY BOARD #1,2020,362937
BROOKLYN COMMUNITY BOARD #10,2020,386089
BROOKLYN COMMUNITY BOARD #11,2020,357966
BROOKLYN COMMUNITY BOARD #12,2020,375679
BROOKLYN COMMUNITY BOARD #13,2020,350707
BROOKLYN COMMUNITY BOARD #14,2020,372978
BROOKLYN COMMUNITY BOARD #15,2020,288364
BROOKLYN COMMUNITY BOARD #16,2020,325367
BROOKLYN COMMUNITY BOARD #17,2020,389500
BROOKLYN COMMUNITY BOARD #18,2020,288366
BROOKLYN COMMUNITY BOARD #2,2020,358820
BROOKLYN COMMUNITY BOARD #3,2020,350357
BROOKLYN COMMUNITY BOARD #4,2020,350686
BROOKLYN COMMUNITY BOARD #5,2020,288364
BROOKLYN COMMUNITY BOARD #6,2020,304288
BROOKLYN COMMUNITY BOARD #7,2020,306864
BROOKLYN COMMUNITY BOARD #8,2020,363263
BROOKLYN COMMUNITY BOARD #9,2020,395259
BROOKLYN PUBLIC LIBRARY,2020,111723595
BUSINESS INTEGRITY COMMISSION,2020,9114435
CAMPAIGN FINANCE BOARD,2020,32429236
CITY CLERK,2020,5738879
CITY COUNCIL,2020,82501878
CITY UNIVERSITY OF NEW YORK,2020,1307212142
CIVILIAN COMPLAINT REVIEW BOARD,2020,18819735
CIVIL SERVICE COMMISSION,2020,1089862
COMMISSION ON HUMAN RIGHTS,2020,13660728
CONFLICTS OF INTEREST BOARD,2020,2716011
DEBT SERVICE,2020,6380286420
DEPARTMENT FOR THE AGING,2020,399465257
DEPARTMENT OF BUILDINGS,2020,185626501
DEPARTMENT OF CITY PLANNING,2020,45444498
DEPARTMENT OF CITYWIDE ADMIN SERVICE,2020,1286939046
DEPARTMENT OF CONSUMER AFFAIRS,2020,42679867
DEPARTMENT OF CORRECTION,2020,1380738255
DEPARTMENT OF CULTURAL AFFAIRS,2020,206737434
DEPARTMENT OF DESIGN & CONSTRUCTION,2020,275504801
DEPARTMENT OF EDUCATION,2020,27013400480
DEPARTMENT OF EMERGENCY MANAGEMENT,2020,72790333
DEPARTMENT OF EMPLOYMENT,2020,0
DEPARTMENT OF ENVIRONMENTAL PROTECT.,2020,1444946950
DEPARTMENT OF FINANCE,2020,312480381
