agency_name,responsibility_center_name,fiscal_year,total_budget
DEPARTMENT OF CORRECTION,JAMES A THOMAS CENTER,2017,352146
DEPARTMENT OF CORRECTION,MANAGEMENT BUDGET + PLANNING,2017,123246764
DEPARTMENT OF CORRECTION,MANHATTAN COURT PENS,2017,2376137
DEPARTMENT OF CORRECTION,MANHATTAN DETENTION COMPLEX,2017,58936947
DEPARTMENT OF CORRECTION,NORTH INFIRMARY COMMAND,2017,15809753
DEPARTMENT OF CORRECTION,NYC CORRECTIONAL INSTIT MEN,2017,52600822
DEPARTMENT OF CORRECTION,OFFICE OF THE COMMISSIONER,2017,3078335
DEPARTMENT OF CORRECTION,OPERATIONS,2017,330458799
DEPARTMENT OF CORRECTION,OTIS BANTUM CORRECTIONAL CNTR,2017,68092913
DEPARTMENT OF CORRECTION,PERSONNEL,2017,6719979
DEPARTMENT OF CORRECTION,PROGRAMS,2017,14890607
DEPARTMENT OF CORRECTION,QUEENS COURT PENS,2017,557000
DEPARTMENT OF CORRECTION,QUEENS HOUSE DETENTION FOR MEN,2017,7240578
DEPARTMENT OF CORRECTION,RI SUPPORT SERVICES,2017,25515935
DEPARTMENT OF CORRECTION,RI TELECOMMUNICATIONS,2017,3296251
DEPARTMENT OF CORRECTION,ROSE M SINGER CENTER,2017,51824547
DEPARTMENT OF CORRECTION,SPECIALIZED SERVICES,2017,25612672
DEPARTMENT OF CORRECTION,SPECIAL OPERATIONS DIVISION,2017,15427324
DEPARTMENT OF CORRECTION,TRAINING ACADEMY,2017,15443415
DEPARTMENT OF CORRECTION,TRANSPORTATION,2017,28165648
DEPARTMENT OF CORRECTION,,2017,74554879
DEPARTMENT OF CULTURAL AFFAIRS,OFFICE OF COMMISSIONER,2017,157877088
DEPARTMENT OF CULTURAL AFFAIRS,,2017,9240700
DEPARTMENT OF DESIGN & CONSTRUCTION,ADMINISTRATION,2017,15444550
DEPARTMENT OF DESIGN & CONSTRUCTION,ARCHITECTURE AND ENGINEERING,2017,7519677
