agency_name,responsibility_center_name,fiscal_year,total_budget
DEPARTMENT OF SANITATION,MAN WEST DIST # 7,2024,10166119
DEPARTMENT OF SANITATION,MAN WEST DIST # 9,2024,4550697
DEPARTMENT OF SANITATION,MAN WEST MECHANICAL BROOMS,2024,2792480
DEPARTMENT OF SANITATION,MARINE TRANSPORT DIVISION,2024,41464
DEPARTMENT OF SANITATION,MARINE UNLOADING,2024,6175299
DEPARTMENT OF SANITATION,MOTOR EQUIPMENT ADMINISTRATION,2024,101576300
DEPARTMENT OF SANITATION,MTS DIV,2024,19405497
DEPARTMENT OF SANITATION,QUEENS NORTH BORO OFFICE ADMIN,2024,9722856
DEPARTMENT OF SANITATION,QUEENS NORTH DIST # 11,2024,10455036
DEPARTMENT OF SANITATION,QUEENS NORTH DIST # 7,2024,13991947
DEPARTMENT OF SANITATION,QUEENS NORTH DIST # 8,2024,10205706
DEPARTMENT OF SANITATION,QUEENS SOUTH BORO OFFICE ADMIN,2024,1213383
DEPARTMENT OF SANITATION,QUEENS SOUTH DIST #10,2024,9141941
DEPARTMENT OF SANITATION,QUEENS SOUTH DIST #12,2024,13199218
DEPARTMENT OF SANITATION,QUEENS SOUTH DIST #13,2024,14021955
DEPARTMENT OF SANITATION,QUEENS SOUTH DISTRICT #14,2024,7741596
DEPARTMENT OF SANITATION,QUEENS WEST BORO OFFICE ADMIN,2024,6382155
DEPARTMENT OF SANITATION,QUEENS WEST DIST #1,2024,10608428
DEPARTMENT OF SANITATION,QUEENS WEST DIST #2,2024,6754928
DEPARTMENT OF SANITATION,QUEENS WEST DIST #3,2024,7191194
DEPARTMENT OF SANITATION,QUEENS WEST DIST #4,2024,6636223
DEPARTMENT OF SANITATION,QUEENS WEST DIST #5,2024,12854952
DEPARTMENT OF SANITATION,QUEENS WEST DIST #6,2024,6143514
DEPARTMENT OF SANITATION,QUEENS WEST DIST #9,2024,8954596
DEPARTMENT OF SANITATION,SOLID WASTE MGMT AND PLANNING,2024,1130028
DEPARTMENT OF SANITATION,SOLID WASTE MGNT & LANDFILL PLANNING,2024,13734261
DEPARTMENT OF SANITATION,STATEN ISLAD BORO OFFICE ADMIN,2024,3268305
DEPARTMENT OF SANITATION,STATEN ISLAND DIST # 1,2024,16110554
DEPARTMENT OF SANITATION,STATEN ISLAND DIST #2,2024,13233402
DEPARTMENT OF SANITATION,STATEN ISLAND DIST #3,2024,15012699
DEPARTMENT OF SANITATION,SUPPORT OPERATIONS ENGR,2024,9009682
DEPARTMENT OF SANITATION,WASTE DISPOSAL ADMINISTRATION,2024,8804167
DEPARTMENT OF SANITATION,"WASTE PREVENTION, REUSE & RECYCLING",2024,34613451
DEPARTMENT OF SANITATION,,2024,84082220
DEPARTMENT OF SMALL BUSINESS SERVICES,ADMINISTRATIVE SERVICES,2024,4564950
DEPARTMENT OF SMALL BUSINESS SERVICES,DEPT OF BUSINESS SERVICES,2024,18960665
DEPARTMENT OF SMALL BUSINESS SERVICES,ECONOMIC DEVELOPEMENT CORP,2024,11193116
DEPARTMENT OF SMALL BUSINESS SERVICES,EMPOWERMENT ZONE / EMPIRE ZONES,2024,0
DEPARTMENT OF SMALL BUSINESS SERVICES,FILM OFFICE,2024,0
DEPARTMENT OF SMALL BUSINESS SERVICES,FINANCIAL AND ECONOMIC OPP,2024,1971024
DEPARTMENT OF SMALL BUSINESS SERVICES,NEIGHBORHOOD ECONOMIC DEVELOPMENT,2024,12104038
DEPARTMENT OF SMALL BUSINESS SERVICES,WORKFORCE INVESTMENT ACT,2024,57545217
DEPARTMENT OF SMALL BUSINESS SERVICES,,2024,282422197
DEPARTMENT OF SOCIAL SERVICES,ADMIN/COMMR FIRST DEPUTY,2024,3278118
DEPARTMENT OF SOCIAL SERVICES,AUDIT SERVICES,2024,3154610
DEPARTMENT OF SOCIAL SERVICES,Benefits Reengineering,2024,984516
DEPARTMENT OF SOCIAL SERVICES,BUDGET ADMINISTRATION,2024,322254858
DEPARTMENT OF SOCIAL SERVICES,CEO - Evaluation,2024,1146548
DEPARTMENT OF SOCIAL SERVICES,Citywide Health Insurance Access,2024,517696
DEPARTMENT OF SOCIAL SERVICES,Community Affairs and Immigrant Services,2024,16854667
DEPARTMENT OF SOCIAL SERVICES,COMMUNITY AFFAIRS UNIT,2024,802317
DEPARTMENT OF SOCIAL SERVICES,COMMUNITY CARE SENIOR SERV FLD,2024,63898187
DEPARTMENT OF SOCIAL SERVICES,Crisis and Disaster Management,2024,0
DEPARTMENT OF SOCIAL SERVICES,"Crisis, Disaster + Survivors",2024,289753310
DEPARTMENT OF SOCIAL SERVICES,CUSTOMIZED ASSISTANCE SERVICE,2024,17048341
DEPARTMENT OF SOCIAL SERVICES,DIVISION OF AIDS SERVICES,2024,268531933
DEPARTMENT OF SOCIAL SERVICES,End Gender Based Violence,2024,5507064
DEPARTMENT OF SOCIAL SERVICES,Fair Fares,2024,65418105
DEPARTMENT OF SOCIAL SERVICES,Fair Hearing,2024,18640790
DEPARTMENT OF SOCIAL SERVICES,FIA Employment and Contract Services,2024,286781761
DEPARTMENT OF SOCIAL SERVICES,FIA Executive Administration,2024,1961566
DEPARTMENT OF SOCIAL SERVICES,FIA Homeless Diversion,2024,70654865
DEPARTMENT OF SOCIAL SERVICES,FOOD STAMPS,2024,78113773
DEPARTMENT OF SOCIAL SERVICES,GENERAL COUNSEL/LEGAL AFFAIRS,2024,20020367
DEPARTMENT OF SOCIAL SERVICES,GENERAL SUPPORT SERVICES,2024,600335345
DEPARTMENT OF SOCIAL SERVICES,HASA HIV/AIDS SERVICES ADMINISTRATION,2024,65151254
DEPARTMENT OF SOCIAL SERVICES,HHS Connect,2024,3323820
DEPARTMENT OF SOCIAL SERVICES,Housing and Services,2024,24732691
DEPARTMENT OF SOCIAL SERVICES,Housing & Homeless Services/Initiatives,2024,143669316
DEPARTMENT OF SOCIAL SERVICES,*INACT ADULT SVCS ADULT INSTNS,2024,9201089
DEPARTMENT OF SOCIAL SERVICES,INCOME SUPPORT FIELD OPERATION,2024,126888397
DEPARTMENT OF SOCIAL SERVICES,INCOME SUPPORT PROGRAM,2024,2156274865
DEPARTMENT OF SOCIAL SERVICES,INVESTIGATION DIVISION,2024,73520321
DEPARTMENT OF SOCIAL SERVICES,Legal Assistance Initiatives,2024,2853251
DEPARTMENT OF SOCIAL SERVICES,MANAGEMENT INFORMATION SYSTEMS,2024,67652535
DEPARTMENT OF SOCIAL SERVICES,MAP-MEDICAID ELIGIBILITY,2024,0
DEPARTMENT OF SOCIAL SERVICES,MAP-MEDICAL ASSISTANCE PROGRAM,2024,6296935265
DEPARTMENT OF SOCIAL SERVICES,Mayor's Action Plan Outreach Team,2024,296280
DEPARTMENT OF SOCIAL SERVICES,MICSA-Home Care Services,2024,33018314
DEPARTMENT OF SOCIAL SERVICES,MICSA-Medicaid Eligibility,2024,43803730
DEPARTMENT OF SOCIAL SERVICES,MICSA-Medical Assistance Program,2024,5968445
DEPARTMENT OF SOCIAL SERVICES,MICSA-Program Support,2024,5273723
DEPARTMENT OF SOCIAL SERVICES,MUNICIPAL IDENTIFICATION CARD,2024,20127340
DEPARTMENT OF SOCIAL SERVICES,OAO Client Advocacy,2024,164016
DEPARTMENT OF SOCIAL SERVICES,OAO Community Outreach,2024,792653
DEPARTMENT OF SOCIAL SERVICES,Office of Child Support Enforcement,2024,35960263
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF COMMUNICATIONS AND MARKETING,2024,13569048
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF CONTRACTS,2024,8645021
DEPARTMENT OF SOCIAL SERVICES,Office of Evaluation and Research,2024,2015513
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF FINANCE,2024,1069023
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF FINANICAL MANAGEMENT,2024,6961244
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF FISCAL OPERATIONS,2024,11543803
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF INTERGVTL AFFAIRS,2024,12514939
DEPARTMENT OF SOCIAL SERVICES,Office of Police Operations,2024,6083583
DEPARTMENT OF SOCIAL SERVICES,Office of Policy Procedures & Training,2024,7334739
DEPARTMENT OF SOCIAL SERVICES,Office of Program Accountability,2024,459402
DEPARTMENT OF SOCIAL SERVICES,Office of Revenue and Admin (ORA),2024,8014607
DEPARTMENT OF SOCIAL SERVICES,OUTREACH REHOUSING & LANDLORD MANAGEMENT,2024,122885647
DEPARTMENT OF SOCIAL SERVICES,PERSONNEL ADMINISTRATION,2024,935050
DEPARTMENT OF SOCIAL SERVICES,PERSONNEL SERVICES,2024,15416745
DEPARTMENT OF SOCIAL SERVICES,Public Engagement,2024,13853099
DEPARTMENT OF SOCIAL SERVICES,PUBLIC/PRIVATE PARTNERSHIPS,2024,423774
DEPARTMENT OF SOCIAL SERVICES,PURCHASING MATERIALS MANAGEMNT,2024,84934
DEPARTMENT OF SOCIAL SERVICES,Quality Assurance & Fiscal Integrity,2024,6639148
DEPARTMENT OF SOCIAL SERVICES,REFERRALS AND EXTERNAL AFFAIRS,2024,3191040
DEPARTMENT OF SOCIAL SERVICES,SAVE,2024,1433553
DEPARTMENT OF SOCIAL SERVICES,,2024,233233725
DEPARTMENT OF TRANSPORTATION,ACCOUNTING MANAGEMENT,2024,13524381
DEPARTMENT OF TRANSPORTATION,ARTERIAL HIGHWAYS MAINTENANCE,2024,41536773
DEPARTMENT OF TRANSPORTATION,BOROUGH ENGINEERING,2024,32676788
DEPARTMENT OF TRANSPORTATION,BRIDGE EXECUTIVE MGMT + ADMIN,2024,16092889
DEPARTMENT OF TRANSPORTATION,BRIDGE INSPECTIONS + RESEARCH,2024,6424071
DEPARTMENT OF TRANSPORTATION,BRIDGE MAINTENANCE ENGINEERING,2024,40288146
DEPARTMENT OF TRANSPORTATION,BRIDGE REPAIRS/FLAGS,2024,37030114
DEPARTMENT OF TRANSPORTATION,BRIDGE + TUNNEL OPERATIONS,2024,5750548
DEPARTMENT OF TRANSPORTATION,BRONX MAINTENANCE ENGINEER,2024,18695066
DEPARTMENT OF TRANSPORTATION,BROOKLYN MAINTENANCE ENGINEER,2024,26842647
DEPARTMENT OF TRANSPORTATION,CAPITAL PLANNING,2024,12407206
DEPARTMENT OF TRANSPORTATION,CONSTRUCTION COORDINATION,2024,455
DEPARTMENT OF TRANSPORTATION,CONVERSION NAME,2024,7733850
DEPARTMENT OF TRANSPORTATION,DEPUTY COMMISSIONER ADMIN,2024,21226676
DEPARTMENT OF TRANSPORTATION,EAST RIVER/MOVABLE BRIDGE ENGINEERING,2024,5258632
DEPARTMENT OF TRANSPORTATION,EEO + LABOR RELATIONS,2024,1933706
DEPARTMENT OF TRANSPORTATION,ENGINEERING PRE-AUDITS,2024,2926354
DEPARTMENT OF TRANSPORTATION,ENGINEERING SERVICES-TRANSIT,2024,2094691
DEPARTMENT OF TRANSPORTATION,"EXECUTIVE MANAGEMENT, HIGHWAYS",2024,141478827
DEPARTMENT OF TRANSPORTATION,"EXECUTIVE MANAGEMENT, TRAFFIC",2024,48138910
DEPARTMENT OF TRANSPORTATION,FERRY MAINTENANCE + REPAIR,2024,15022257
DEPARTMENT OF TRANSPORTATION,FINANCIAL MANAGEMENT,2024,4756120
DEPARTMENT OF TRANSPORTATION,HIGHWAY DESIGN,2024,57866880
DEPARTMENT OF TRANSPORTATION,HWY INSP + QUALITY ASSURANCE,2024,18716146
DEPARTMENT OF TRANSPORTATION,LEGAL AFFAIRS,2024,14455960
DEPARTMENT OF TRANSPORTATION,MAINT ENGRG + OPERATIONS MGMT,2024,36632335
DEPARTMENT OF TRANSPORTATION,MANHATTAN MAINTENANCE,2024,9945755
DEPARTMENT OF TRANSPORTATION,MUNICIPAL FERRY SERVICE,2024,80796782
DEPARTMENT OF TRANSPORTATION,OFFICE OF THE COMMISSIONER,2024,22331929
DEPARTMENT OF TRANSPORTATION,OPER SUPPT/FACILITIES/COMMUNIC,2024,77610568
DEPARTMENT OF TRANSPORTATION,PARKING,2024,60123702
DEPARTMENT OF TRANSPORTATION,PERSONNEL + PAYROLL,2024,5404442
DEPARTMENT OF TRANSPORTATION,PLANNING AND RESEARCH,2024,35650165
DEPARTMENT OF TRANSPORTATION,QUEENS MAINTENANCE ENGINEER,2024,27550875
DEPARTMENT OF TRANSPORTATION,RICHMOND MAINTENANCE ENGINEER,2024,13457483
DEPARTMENT OF TRANSPORTATION,ROADWAY BRIDGE ENGINEERING,2024,5788500
DEPARTMENT OF TRANSPORTATION,ROADWAY DESIGN,2024,3908778
DEPARTMENT OF TRANSPORTATION,ROADWAY ENGINEERING CONSTR,2024,3259377
DEPARTMENT OF TRANSPORTATION,SAFETY ENGINEERING,2024,4839814
DEPARTMENT OF TRANSPORTATION,SURFACE TRANSIT OPERATIONS,2024,3384576
DEPARTMENT OF TRANSPORTATION,TRAFFIC ENGINEERING MANAGEMENT,2024,2999748
DEPARTMENT OF TRANSPORTATION,TRAFFIC MANAGEMENT INFO SVCS,2024,2634599
DEPARTMENT OF TRANSPORTATION,TRAFFIC PLANNING,2024,8718568
DEPARTMENT OF TRANSPORTATION,TRAF SIGNALS + STREET LIGHTING,2024,389985842
DEPARTMENT OF TRANSPORTATION,TRANSIT OPERATIONS EXEC MGMT,2024,3034314
DEPARTMENT OF TRANSPORTATION,VEHICLE MAINTENANCE + REPAIR,2024,34240518
DEPARTMENT OF TRANSPORTATION,VIOLATION TOW PROGRAM,2024,0
DEPARTMENT OF TRANSPORTATION,,2024,25197624
DEPARTMENT OF VETERANS' SERVICES,,2024,6243799
DEPARTMENT OF YOUTH & COMMUNITY DEV,ADMINISTRATION AND FINANCE,2024,455070938
DEPARTMENT OF YOUTH & COMMUNITY DEV,COMMUNITY DEVELOPMENT AGENCY,2024,135310858
DEPARTMENT OF YOUTH & COMMUNITY DEV,,2024,608894204
DEPT OF CONSUMER & WORKER PROTECTION,BUDGET AND ADMINISTRATION,2024,6744416
DEPT OF CONSUMER & WORKER PROTECTION,COMPLAINT/NEIGHBORHOOD OFFICES,2024,1365100
DEPT OF CONSUMER & WORKER PROTECTION,COMPUTER SERVICES,2024,7455526
DEPT OF CONSUMER & WORKER PROTECTION,FINANCE+MANAGEMENT,2024,4671593
DEPT OF CONSUMER & WORKER PROTECTION,LICENSE ISSUANCE,2024,5845878
DEPT OF CONSUMER & WORKER PROTECTION,OFFICE OF COMMISSIONER,2024,729500
DEPT OF CONSUMER & WORKER PROTECTION,OFF.OF.ASST.COM./GEN COUNSEL,2024,5475767
DEPT OF CONSUMER & WORKER PROTECTION,PERSONNEL,2024,244853
DEPT OF CONSUMER & WORKER PROTECTION,,2024,35794211
DISTRICT ATTORNEY BRONX COUNTY,EXECUTIVE MANAGEMENT,2024,91510666
DISTRICT ATTORNEY BRONX COUNTY,INVESTIGATIONS,2024,3225974
DISTRICT ATTORNEY BRONX COUNTY,,2024,12597714
DISTRICT ATTORNEY KINGS COUNTY,EXECUTIVE & MANAGERIAL,2024,117824669
DISTRICT ATTORNEY KINGS COUNTY,TRUST AND AGENCY,2024,200100
DISTRICT ATTORNEY KINGS COUNTY,,2024,19076991
DISTRICT ATTORNEY NEW YORK COUNTY,ACCOUNTING SERVICES,2024,1103848
DISTRICT ATTORNEY NEW YORK COUNTY,ADMINISTRATIVE SERVICES,2024,57975164
DISTRICT ATTORNEY NEW YORK COUNTY,CAREER CRIMINAL,2024,452340
DISTRICT ATTORNEY NEW YORK COUNTY,CONVERSION NAME,2024,68355
DISTRICT ATTORNEY NEW YORK COUNTY,EXECUTIVE MANAGEMENT,2024,10598060
DISTRICT ATTORNEY NEW YORK COUNTY,INVESTIGATIVE SERVICES,2024,7699904
DISTRICT ATTORNEY NEW YORK COUNTY,LEGAL SERVICES,2024,54861955
DISTRICT ATTORNEY NEW YORK COUNTY,VICTIM WITNESS PROGRAM,2024,739238
DISTRICT ATTORNEY NEW YORK COUNTY,,2024,36873585
DISTRICT ATTORNEY QUEENS COUNTY,EXECUTIVE MANAGEMENT,2024,77771880
DISTRICT ATTORNEY QUEENS COUNTY,,2024,14656279
DISTRICT ATTORNEY RICHMOND COUNTY,EXECUTIVE MANAGEMENT,2024,17819566
DISTRICT ATTORNEY RICHMOND COUNTY,,2024,6337017
DISTRICTING COMMISSION,ADMINISTRATION,2024,1057857
EQUAL EMPLOYMENT PRACTICES COMMISSION,EXECUTIVE,2024,1312690
EQUAL EMPLOYMENT PRACTICES COMMISSION,,2024,0
FINANCIAL INFORMATION SERVICE AGENCY,ADMINISTRATIVE SERVICES,2024,1124900
FINANCIAL INFORMATION SERVICE AGENCY,EXECUTIVE MANAGEMENT,2024,49960658
FINANCIAL INFORMATION SERVICE AGENCY,INFORMATION TECHNOLOGY,2024,47711184
FINANCIAL INFORMATION SERVICE AGENCY,,2024,21170280
FIRE DEPARTMENT,AFFIRMATIVE EMPLOYMENT,2024,1242963
FIRE DEPARTMENT,BICS,2024,18252997
FIRE DEPARTMENT,BRONX BOROUGH COMMAND,2024,226345334
FIRE DEPARTMENT,BROOKLYN BOROUGH COMMAND,2024,397758395
FIRE DEPARTMENT,BUDGET SERVICES,2024,1331127
FIRE DEPARTMENT,BUILDINGS,2024,10446076
FIRE DEPARTMENT,BUREAU MANAGEMENT,2024,5910218
FIRE DEPARTMENT,CHIEF OF DEPT BUR OF OPERATION,2024,10985161
FIRE DEPARTMENT,CONVERSION NAME,2024,920488
FIRE DEPARTMENT,DEPUTY COMMISSIONER OF ADMINIS,2024,236469
FIRE DEPARTMENT,DISPATCHERS,2024,16604049
FIRE DEPARTMENT,DIST ORGANIZATION INSPECTION,2024,9475167
FIRE DEPARTMENT,EMERGENCY MEDICAL SERVICES,2024,339326790
FIRE DEPARTMENT,FIRE COMMUNICATIONS,2024,670395
FIRE DEPARTMENT,FIRE INVESTIGATIONS,2024,24281739
FIRE DEPARTMENT,FIRST DEPUTY COMMISSIONER,2024,219940
FIRE DEPARTMENT,FISCAL SERVICES,2024,115064594
FIRE DEPARTMENT,FLEET MAINTENANCE,2024,21734940
FIRE DEPARTMENT,HAZARDOUS MATERIALS UNIT,2024,8537796
FIRE DEPARTMENT,HEADQUARTER INSPECTION,2024,15851750
FIRE DEPARTMENT,HEALTH SERVICES,2024,6578497
FIRE DEPARTMENT,HUM RES DEV PUBLIC CERTIFICAT,2024,1989883
FIRE DEPARTMENT,INTERGOVERNMENTAL AFFAIRS,2024,941185
FIRE DEPARTMENT,INVESTIGATIONS AND TRIALS,2024,857809
FIRE DEPARTMENT,LABOR RELATIONS,2024,339808
FIRE DEPARTMENT,LEGAL,2024,3451447
FIRE DEPARTMENT,MANAGEMENT POLICY AND REVIEW,2024,716337
FIRE DEPARTMENT,MANAGEMENT SUPPORT STAFF,2024,1146372
FIRE DEPARTMENT,MANHATTAN BOROUGH COMMAND,2024,283077741
FIRE DEPARTMENT,MARINE DIVISION,2024,15937950
FIRE DEPARTMENT,MASK SERVICE UNIT,2024,5519775
FIRE DEPARTMENT,OFFICE OF THE FIRE COMM,2024,3758416
FIRE DEPARTMENT,OPERATION SUPPORT STAFF,2024,4346907
FIRE DEPARTMENT,PERSONNEL,2024,5511395
FIRE DEPARTMENT,QUEENS BOROUGH COMMAND,2024,307674855
FIRE DEPARTMENT,RESCUE SERVICES,2024,49056277
FIRE DEPARTMENT,SAFETY UNIT,2024,2206896
FIRE DEPARTMENT,STATEN ISLAND BOROUGH COMMAND,2024,114786331
FIRE DEPARTMENT,SUPPORT SERVICES,2024,1588127
FIRE DEPARTMENT,TECHNOLOGY MANAGEMENT,2024,6395862
FIRE DEPARTMENT,TRAINING,2024,12839145
FIRE DEPARTMENT,,2024,540070532
HEALTH AND HOSPITALS CORP,HEALTH & HOSPITALS CORP,2024,955064213
HEALTH AND HOSPITALS CORP,,2024,1037793101
HOUSING PRESERVATION AND DEVELOPMENT,ADMINISTRATION,2024,41395102
HOUSING PRESERVATION AND DEVELOPMENT,ALTERNATIVE MGMT PROGRAMS,2024,12878428
HOUSING PRESERVATION AND DEVELOPMENT,COMMISSIONER'S OFFICE,2024,9269832
HOUSING PRESERVATION AND DEVELOPMENT,DEMOLITION & SEALING,2024,31229211
HOUSING PRESERVATION AND DEVELOPMENT,DEP COM-DEVELOPMENT,2024,15641204
HOUSING PRESERVATION AND DEVELOPMENT,DEP COM-HOUSING MGMT & SALES,2024,3754865
HOUSING PRESERVATION AND DEVELOPMENT,DEP COM-HOUSING PRESERVATION,2024,288693
HOUSING PRESERVATION AND DEVELOPMENT,DESIGN & CONSTRUCTION,2024,12278627
HOUSING PRESERVATION AND DEVELOPMENT,DPM-RELOCATION,2024,383243
HOUSING PRESERVATION AND DEVELOPMENT,EVALUATION & COMPLIANCE-CNT OP,2024,799729
HOUSING PRESERVATION AND DEVELOPMENT,FED AFFAIRS & POLICY DEV,2024,6654361
HOUSING PRESERVATION AND DEVELOPMENT,FISCAL & BUDGET AFFAIRS,2024,9900971
HOUSING PRESERVATION AND DEVELOPMENT,HOUSING AUTHORITY PROJECTS,2024,320993879
HOUSING PRESERVATION AND DEVELOPMENT,HOUSING LITIGATION BUREAU,2024,11732050
HOUSING PRESERVATION AND DEVELOPMENT,"HOUSING,PRODUCTION & FINANCE",2024,602029276
HOUSING PRESERVATION AND DEVELOPMENT,HOUSING SUPERVISION,2024,8573760
HOUSING PRESERVATION AND DEVELOPMENT,HOUSING SUPERVISION-OHP,2024,11642415
HOUSING PRESERVATION AND DEVELOPMENT,HOUSING VACANCY SURVEY IN OHP,2024,9922013
HOUSING PRESERVATION AND DEVELOPMENT,LEGAL AFFAIRS,2024,6573299
HOUSING PRESERVATION AND DEVELOPMENT,MAINTENANCE&FINANCEIAL OPS,2024,256193
HOUSING PRESERVATION AND DEVELOPMENT,NEIGHBORHOOD PRESERVATION,2024,5450950
HOUSING PRESERVATION AND DEVELOPMENT,OHP-CODE ENFORCEMENT,2024,124163111
HOUSING PRESERVATION AND DEVELOPMENT,PLANNING,2024,29036296
HOUSING PRESERVATION AND DEVELOPMENT,PROPERTY MANAGEMENT,2024,54877100
HOUSING PRESERVATION AND DEVELOPMENT,RENT SUBSIDIES,2024,3322254
HOUSING PRESERVATION AND DEVELOPMENT,,2024,127446120
INDEPENDENT BUDGET OFFICE,CONVERSION NAME,2024,5890551
INDEPENDENT BUDGET OFFICE,,2024,678526
LANDMARKS PRESERVATION COMM.,LANDMARKS PRESERVATION COMM,2024,7758723
LANDMARKS PRESERVATION COMM.,,2024,269896
LAW DEPARTMENT,ADMINISTRATIVE LAW,2024,4542077
LAW DEPARTMENT,ADMINISTRATIVE SERVICES DIV,2024,111235890
LAW DEPARTMENT,AFFIRMATIVE LITIGATION,2024,5065383
LAW DEPARTMENT,APPEALS,2024,5156837
LAW DEPARTMENT,COMMERCIAL LITIGATION,2024,5505904
LAW DEPARTMENT,CONTRACTS + REAL ESTATE,2024,1529208
LAW DEPARTMENT,ECONOMIC DEVELOPMENT DIVISION,2024,1810758
LAW DEPARTMENT,ENVIRONMENTAL LAW,2024,511506
LAW DEPARTMENT,EXECUTIVE,2024,14615155
LAW DEPARTMENT,FAMILY COURT,2024,9282747
LAW DEPARTMENT,GENERAL LITIGATION,2024,5876723
LAW DEPARTMENT,LEGAL COUNSEL,2024,3710008
LAW DEPARTMENT,LITIGATION SUPPORT,2024,3010127
LAW DEPARTMENT,MANAGEMENT INFORMATION SVCS,2024,11671192
LAW DEPARTMENT,MUNICIPAL FINANCE,2024,733012
LAW DEPARTMENT,OPERATIONS SUPPORT DIVISION,2024,4916711
LAW DEPARTMENT,TORT,2024,30973901
LAW DEPARTMENT,WORKERS' COMPENSATION,2024,10565099
LAW DEPARTMENT,,2024,44825032
MANHATTAN COMMUNITY BOARD #1,MANHATTAN COMMUNITY BOARD #1,2024,386873
MANHATTAN COMMUNITY BOARD #1,,2024,6000
MANHATTAN COMMUNITY BOARD #10,MANHATTAN COMMUNITY BOARD #10,2024,433114
MANHATTAN COMMUNITY BOARD #10,,2024,22000
MANHATTAN COMMUNITY BOARD #11,MANHATTAN COMMUNITY BOARD # 11,2024,359451
MANHATTAN COMMUNITY BOARD #11,,2024,27500
MANHATTAN COMMUNITY BOARD #12,MANHATTAN COMMUNITY BOARD # 12,2024,442407
MANHATTAN COMMUNITY BOARD #12,,2024,12500
MANHATTAN COMMUNITY BOARD #2,MANHATTAN COMMUNITY BOARD #2,2024,436153
MANHATTAN COMMUNITY BOARD #2,,2024,6000
MANHATTAN COMMUNITY BOARD #3,MANHATTAN COMMUNITY BOARD #3,2024,404454
MANHATTAN COMMUNITY BOARD #3,,2024,15251
MANHATTAN COMMUNITY BOARD #4,MANHATTAN COMMUNITY BOARD # 4,2024,410287
MANHATTAN COMMUNITY BOARD #5,MANHATTAN COMMUNITY BOARD # 5,2024,373654
MANHATTAN COMMUNITY BOARD #5,,2024,5000
MANHATTAN COMMUNITY BOARD #6,MANHATTAN COMMUNITY BOARD #6,2024,553215
MANHATTAN COMMUNITY BOARD #6,,2024,10000
MANHATTAN COMMUNITY BOARD #7,MANHATTAN COMMUNITY BOARD # 7,2024,400157
MANHATTAN COMMUNITY BOARD #7,,2024,2500
MANHATTAN COMMUNITY BOARD #8,MANHATTAN COMMUNITY BOARD # 8,2024,435437
MANHATTAN COMMUNITY BOARD #8,,2024,15000
MANHATTAN COMMUNITY BOARD #9,MANHATTAN COMMUNITY BOARD # 9,2024,432800
MANHATTAN COMMUNITY BOARD #9,,2024,20000
MAYORALTY,1ST DEP DIR: OFFICE OF BUDGET REVIEW,2024,18131326
MAYORALTY,COUNSEL TO THE MAYOR,2024,3731589
MAYORALTY,CRIMINAL JUSTICE COORDINATOR,2024,10581043
MAYORALTY,DEP DIR: EXPENSE & CAPITAL TAKSFORCES-A,2024,2471025
MAYORALTY,DEP DIR: EXPENSE & CAPITAL TASKFORCES-L,2024,3504039
MAYORALTY,DEP DIR: EXPENSE & CAPITAL TASKFORCES-R,2024,5661516
MAYORALTY,DIRECTOR OF COMMUNICATION,2024,0
MAYORALTY,D/M FOR FINANCE AND ECO. DEV.,2024,2578220
MAYORALTY,D/M FOR GOVERNMENT RELATIONS,2024,4310158
MAYORALTY,D/M FOR HUMAN SVC,2024,2290866
MAYORALTY,D/M FOR OPERATIONS,2024,4253609
MAYORALTY,D/M FOR PLANNING/COMMUNITY REL,2024,3082284
MAYORALTY,FIRST DEPUTY MAYOR,2024,23420804
MAYORALTY,OFFICE OF LABOR RELATIONS,2024,22041641
MAYORALTY,OMB DIRECTOR & AGENCY SERVICES,2024,21947559
MAYORALTY,,2024,63886498
MISCELLANEOUS,CONTRACTUAL SVCS & OTHER PAYMT,2024,1033739867
MISCELLANEOUS,FRINGE BENEFITS,2024,7431463266
MISCELLANEOUS,PAYMENTS TO BUS COMPANIES,2024,552313047
MISCELLANEOUS,PERSONAL SERVICE,2024,3331535439
MISCELLANEOUS,SPECIAL AWARDS,2024,675000
MISCELLANEOUS,SPECIAL GRANTS,2024,15000000
MISCELLANEOUS,SPECIAL RESERVES,2024,1326986126
MISCELLANEOUS,,2024,1218220045
NEW YORK PUBLIC LIBRARY,NEW YORK CITY PUBLIC LIBRARY,2024,164065407
NEW YORK PUBLIC LIBRARY,NY PUBLIC LIBRARY,2024,7679441
NEW YORK PUBLIC LIBRARY,,2024,4569740
NEW YORK RESEARCH LIBRARIES,RESEARCH LIBRARIES,2024,33134726
NYC TAXI AND LIMOUSINE COMM,ADJUDICATION AND RESEARCH,2024,3555873
NYC TAXI AND LIMOUSINE COMM,EMISSION AND SAFETY INSPECTION,2024,4213906
NYC TAXI AND LIMOUSINE COMM,ENFORCEMENT,2024,14851877
NYC TAXI AND LIMOUSINE COMM,EXEC MANAGEMENT+ ADMIN SUPPORT,2024,21764407
