agency_name,fiscal_year,total_budget
MANHATTAN COMMUNITY BOARD #3,2020,1292166
MANHATTAN COMMUNITY BOARD #4,2020,1252886
MANHATTAN COMMUNITY BOARD #5,2020,1120871
MANHATTAN COMMUNITY BOARD #6,2020,1688540
MANHATTAN COMMUNITY BOARD #7,2020,1141309
MANHATTAN COMMUNITY BOARD #8,2020,1463321
MANHATTAN COMMUNITY BOARD #9,2020,1269789
MAYORALTY,2020,461707489
MISCELLANEOUS,2020,33520193614
NEW YORK PUBLIC LIBRARY,2020,438448911
NEW YORK RESEARCH LIBRARIES,2020,85970288
NYC TAXI AND LIMOUSINE COMM,2020,152999936
OFFICE OF ADMINISTRATIVE TAX APPEALS,2020,16271679
OFFICE OF ADMIN TRIALS & HEARINGS,2020,149913363
OFFICE OF COLLECTIVE BARGAINING,2020,7030724
OFFICE OF PAYROLL ADMINISTRATION,2020,51177123
OFFICE OF PROSECUTION SPEC NARCO,2020,70046769
OFFICE OF THE ACTUARY,2020,21523092
OFFICE OF THE COMPTROLLER,2020,329170351
PENSION CONTRIBUTIONS,2020,29645727606
POLICE DEPARTMENT,2020,17699264875
PUBLIC ADMINISTRATOR-BRONX COUNTY,2020,2151037
PUBLIC ADMINISTRATOR-KINGS COUNTY,2020,2664501
PUBLIC ADMINISTRATOR-NEW YORK COUNTY,2020,8885525
PUBLIC ADMINISTRATOR- QUEENS COUNTY,2020,1928999
PUBLIC ADMINISTRATOR-RICHMOND COUNTY,2020,1724133
PUBLIC ADVOCATE,2020,11027505
QUEENS BOROUGH PUBLIC LIBRARY,2020,343173387
QUEENS COMMUNITY BOARD #1,2020,1106500
QUEENS COMMUNITY BOARD #10,2020,1004440
QUEENS COMMUNITY BOARD #11,2020,1106226
QUEENS COMMUNITY BOARD #12,2020,1036399
QUEENS COMMUNITY BOARD #13,2020,992216
QUEENS COMMUNITY BOARD #14,2020,956045
QUEENS COMMUNITY BOARD #2,2020,1104428
QUEENS COMMUNITY BOARD #3,2020,1203302
QUEENS COMMUNITY BOARD #4,2020,1075205
QUEENS COMMUNITY BOARD #5,2020,977339
QUEENS COMMUNITY BOARD #6,2020,1031001
QUEENS COMMUNITY BOARD #7,2020,1125020
QUEENS COMMUNITY BOARD #8,2020,1123902
QUEENS COMMUNITY BOARD #9,2020,867011
STATEN ISLAND COMMUNITY BOARD #1,2020,1041194
STATEN ISLAND COMMUNITY BOARD #2,2020,995336
STATEN ISLAND COMMUNITY BOARD #3,2020,1194203
ADMIN FOR CHILDREN'S SERVICES,2021,8203290957
BOARD OF CORRECTION,2021,9348683
BOARD OF ELECTIONS,2021,736696455
BOROUGH PRESIDENT BRONX,2021,18500568
BOROUGH PRESIDENT - BROOKLYN,2021,23036323
BOROUGH PRESIDENT - MANHATTAN,2021,15660665
BOROUGH PRESIDENT - QUEENS,2021,19309356
BOROUGH PRESIDENT STATEN ISLAND,2021,14147209
BRONX COMMUNITY BOARD #1,2021,1083002
BRONX COMMUNITY BOARD #10,2021,1104428
BRONX COMMUNITY BOARD #11,2021,1066024
BRONX COMMUNITY BOARD #12,2021,909235
BRONX COMMUNITY BOARD #2,2021,1057868
BRONX COMMUNITY BOARD #3,2021,1078340
BRONX COMMUNITY BOARD #4,2021,924158
BRONX COMMUNITY BOARD #5,2021,888701
BRONX COMMUNITY BOARD #6,2021,886652
BRONX COMMUNITY BOARD #7,2021,1068510
BRONX COMMUNITY BOARD #8,2021,1055297
BRONX COMMUNITY BOARD #9,2021,1203625
BROOKLYN COMMUNITY BOARD #1,2021,1108757
BROOKLYN COMMUNITY BOARD #10,2021,1175164
BROOKLYN COMMUNITY BOARD #11,2021,1098609
BROOKLYN COMMUNITY BOARD #12,2021,1180940
BROOKLYN COMMUNITY BOARD #13,2021,1074368
BROOKLYN COMMUNITY BOARD #14,2021,1137524
BROOKLYN COMMUNITY BOARD #15,2021,886652
BROOKLYN COMMUNITY BOARD #16,2021,1000661
BROOKLYN COMMUNITY BOARD #17,2021,1152118
BROOKLYN COMMUNITY BOARD #18,2021,886658
BROOKLYN COMMUNITY BOARD #2,2021,1101041
BROOKLYN COMMUNITY BOARD #3,2021,1040312
BROOKLYN COMMUNITY BOARD #4,2021,1073990
BROOKLYN COMMUNITY BOARD #5,2021,886652
BROOKLYN COMMUNITY BOARD #6,2021,924725
BROOKLYN COMMUNITY BOARD #7,2021,934652
BROOKLYN COMMUNITY BOARD #8,2021,1112140
BROOKLYN COMMUNITY BOARD #9,2021,1215509
BROOKLYN PUBLIC LIBRARY,2021,356630018
BUSINESS INTEGRITY COMMISSION,2021,28144092
CAMPAIGN FINANCE BOARD,2021,80723890
CITY CLERK,2021,17322260
CITY COUNCIL,2021,260304448
CITY UNIVERSITY OF NEW YORK,2021,4004469066
CITYWIDE SAVINGS INITIATIVES,2021,0
CIVILIAN COMPLAINT REVIEW BOARD,2021,58533343
CIVIL SERVICE COMMISSION,2021,3480660
COMMISSION ON HUMAN RIGHTS,2021,41551569
CONFLICTS OF INTEREST BOARD,2021,8019889
DEBT SERVICE,2021,15911343343
DEPARTMENT FOR THE AGING,2021,1300969323
DEPARTMENT OF BUILDINGS,2021,609335908
DEPARTMENT OF CITY PLANNING,2021,153881917
DEPARTMENT OF CITYWIDE ADMIN SERVICE,2021,6786799087
DEPARTMENT OF CONSUMER AFFAIRS,2021,129205018
DEPARTMENT OF CORRECTION,2021,3981187416
DEPARTMENT OF CULTURAL AFFAIRS,2021,651868877
DEPARTMENT OF DESIGN & CONSTRUCTION,2021,1182398378
DEPARTMENT OF EDUCATION,2021,84870668263
DEPARTMENT OF EMERGENCY MANAGEMENT,2021,1018364451
DEPARTMENT OF EMPLOYMENT,2021,0
DEPARTMENT OF ENVIRONMENTAL PROTECT.,2021,4393864892
DEPARTMENT OF FINANCE,2021,981875360
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2021,5783980722
DEPARTMENT OF HOMELESS SERVICES,2021,6593344657
DEPARTMENT OF INFO TECH & TELECOMM,2021,2337352703
DEPARTMENT OF INVESTIGATION,2021,185419819
DEPARTMENT OF JUVENILE JUSTICE,2021,0
DEPARTMENT OF MENTAL HEALTH,2021,0
