agency_name,responsibility_center_name,fiscal_year,total_budget
DEPARTMENT OF BUILDINGS,RICHMOND BOROUGH OFFICE,2026,3123382
DEPARTMENT OF BUILDINGS,STATEN ISLAND BOROUGH OFFICE,2026,11750558
DEPARTMENT OF BUILDINGS,,2026,407662973
DEPARTMENT OF CITY PLANNING,DEPT OF CITY PLANNING,2026,73537901
DEPARTMENT OF CITY PLANNING,,2026,96571406
DEPARTMENT OF CITYWIDE ADMIN SERVICE,AGENCY CHIEF CONTRACTING OFFICER,2026,21282437
DEPARTMENT OF CITYWIDE ADMIN SERVICE,BQA LABORATORIES,2026,2640
DEPARTMENT OF CITYWIDE ADMIN SERVICE,CENTRAL STOREHOUSE,2026,87405723
DEPARTMENT OF CITYWIDE ADMIN SERVICE,CITY MESSENGER SERVICE,2026,1796466
DEPARTMENT OF CITYWIDE ADMIN SERVICE,CITY PUBLISHING CENTER,2026,8638839
DEPARTMENT OF CITYWIDE ADMIN SERVICE,CONTRACT ADMIN,2026,1331781
DEPARTMENT OF CITYWIDE ADMIN SERVICE,DIVISION OF MUNI SUPPLY SERVICES,2026,4199786
DEPARTMENT OF CITYWIDE ADMIN SERVICE,DIV OF ADMINISTRATION AND SECURITY,2026,13818201
DEPARTMENT OF CITYWIDE ADMIN SERVICE,DMSS PROCUREMENT,2026,17184990
DEPARTMENT OF CITYWIDE ADMIN SERVICE,DRES ADMIN,2026,9737107
DEPARTMENT OF CITYWIDE ADMIN SERVICE,DRES PLANNING,2026,6041427
DEPARTMENT OF CITYWIDE ADMIN SERVICE,DRP FINANCIAL SERVICES,2026,6985521
DEPARTMENT OF CITYWIDE ADMIN SERVICE,ENERGY CONSERVATION,2026,2894368104
DEPARTMENT OF CITYWIDE ADMIN SERVICE,EXECUTIVE AND ADMINISTRATION,2026,127825423
DEPARTMENT OF CITYWIDE ADMIN SERVICE,EXECUTIVE DIVISION,2026,27890787
DEPARTMENT OF CITYWIDE ADMIN SERVICE,FACILITIES MANAGEMENT,2026,385293737
DEPARTMENT OF CITYWIDE ADMIN SERVICE,FACILITIES MGMT & CONST,2026,22646130
DEPARTMENT OF CITYWIDE ADMIN SERVICE,FINANCE AND OPERATIONS,2026,9838657
DEPARTMENT OF CITYWIDE ADMIN SERVICE,FLEET MGMT SERVICES,2026,18391957
DEPARTMENT OF CITYWIDE ADMIN SERVICE,GUIDE A RIDE HANDICAPPED ACCES,2026,804216
DEPARTMENT OF CITYWIDE ADMIN SERVICE,LEASE PAYMENT,2026,421402213
DEPARTMENT OF CITYWIDE ADMIN SERVICE,MGMT INFORMATION SERVICES,2026,42446049
DEPARTMENT OF CITYWIDE ADMIN SERVICE,PROPERTY MGMT LEASE OUT,2026,21197670
DEPARTMENT OF CITYWIDE ADMIN SERVICE,QUALITY ASSURANCE,2026,8056162
DEPARTMENT OF CITYWIDE ADMIN SERVICE,SURPLUS ACTIVITIES,2026,2948971
DEPARTMENT OF CITYWIDE ADMIN SERVICE,TELECOMMUNICATION CONTROL,2026,4983624
DEPARTMENT OF CITYWIDE ADMIN SERVICE,WORKERS EMPLOYMENT PROGRAM,2026,0
DEPARTMENT OF CITYWIDE ADMIN SERVICE,,2026,2042841138
DEPARTMENT OF CORRECTION,ADOLESCENT RECEPTION DETEN CNT,2026,243554840
DEPARTMENT OF CORRECTION,ALTERNATIVES TO INCARCERATION,2026,9017997
DEPARTMENT OF CORRECTION,ANNA M KROSS CENTER,2026,55209535
DEPARTMENT OF CORRECTION,BELLEVUE HOSPITAL PRISON WARD,2026,43603205
DEPARTMENT OF CORRECTION,BNX HOUSE DETENTION FOR MEN,2026,0
DEPARTMENT OF CORRECTION,BRONX COURT PENS,2026,40868711
DEPARTMENT OF CORRECTION,BROOKLYN COURT PENS,2026,25788729
DEPARTMENT OF CORRECTION,BROOKLYN HOUSE OF DETENT MEN,2026,24951
DEPARTMENT OF CORRECTION,CAPITAL DEVEL SUPPORT SERVICES,2026,26710313
DEPARTMENT OF CORRECTION,CORRECTION INDUSTRIES,2026,14624187
DEPARTMENT OF CORRECTION,ELMHURST HOSPITAL PRISON WARD,2026,6876993
DEPARTMENT OF CORRECTION,GEORE R VIERNO CENTER,2026,158082773
DEPARTMENT OF CORRECTION,GEORGE MOTCHAN DENTENTION CNTR,2026,344523
DEPARTMENT OF CORRECTION,HEALTH AFFAIRS SUB ABUSE +EDUC,2026,8097781
DEPARTMENT OF CORRECTION,HEALTH MANAGEMENT,2026,15484114
DEPARTMENT OF CORRECTION,INSPECTIONS,2026,4955403
DEPARTMENT OF CORRECTION,INVESTIGATIONS,2026,64046386
DEPARTMENT OF CORRECTION,MANAGEMENT BUDGET + PLANNING,2026,273953465
DEPARTMENT OF CORRECTION,MANHATTAN COURT PENS,2026,57221872
DEPARTMENT OF CORRECTION,MANHATTAN DETENTION COMPLEX,2026,30105532
DEPARTMENT OF CORRECTION,NORTH INFIRMARY COMMAND,2026,137593748
DEPARTMENT OF CORRECTION,NYC CORRECTIONAL INSTIT MEN,2026,117336276
DEPARTMENT OF CORRECTION,OFFICE OF THE COMMISSIONER,2026,6770988
DEPARTMENT OF CORRECTION,OPERATIONS,2026,939627169
DEPARTMENT OF CORRECTION,OTIS BANTUM CORRECTIONAL CNTR,2026,184842798
DEPARTMENT OF CORRECTION,PERSONNEL,2026,38931542
DEPARTMENT OF CORRECTION,PROGRAMS,2026,88403946
DEPARTMENT OF CORRECTION,QUEENS COURT PENS,2026,32149950
DEPARTMENT OF CORRECTION,QUEENS HOUSE DETENTION FOR MEN,2026,4199579
DEPARTMENT OF CORRECTION,RI SUPPORT SERVICES,2026,90448575
DEPARTMENT OF CORRECTION,RI TELECOMMUNICATIONS,2026,55346513
DEPARTMENT OF CORRECTION,ROSE M SINGER CENTER,2026,185866320
DEPARTMENT OF CORRECTION,SPECIALIZED SERVICES,2026,73922203
DEPARTMENT OF CORRECTION,SPECIAL OPERATIONS DIVISION,2026,69012697
DEPARTMENT OF CORRECTION,TRAINING ACADEMY,2026,37949274
DEPARTMENT OF CORRECTION,TRANSPORTATION,2026,120506006
DEPARTMENT OF CORRECTION,,2026,384506620
DEPARTMENT OF CULTURAL AFFAIRS,OFFICE OF COMMISSIONER,2026,704085598
DEPARTMENT OF CULTURAL AFFAIRS,,2026,61283000
DEPARTMENT OF DESIGN & CONSTRUCTION,ADMINISTRATION,2026,35201759
DEPARTMENT OF DESIGN & CONSTRUCTION,ARCHITECTURE AND ENGINEERING,2026,18970753
DEPARTMENT OF DESIGN & CONSTRUCTION,EXECUTIVE,2026,158221306
DEPARTMENT OF DESIGN & CONSTRUCTION,INFRASTRUCTURE,2026,110669976
DEPARTMENT OF DESIGN & CONSTRUCTION,STRUCTURES,2026,77302133
DEPARTMENT OF DESIGN & CONSTRUCTION,TECHNICAL SUPPORT,2026,31481848
DEPARTMENT OF DESIGN & CONSTRUCTION,,2026,125430509
DEPARTMENT OF EDUCATION,BUDG OPER + REV-DEPT-WIDE COST,2026,0
DEPARTMENT OF EDUCATION,BUDG OPER + REV-HEAT LIGHT PWR,2026,0
DEPARTMENT OF EDUCATION,CHIEF EXECUTIVE FOR FACILITIES,2026,0
DEPARTMENT OF EDUCATION,CITY BOARD OF EDUCATION,2026,0
DEPARTMENT OF EDUCATION,DEPUTY CHANCELLOR FOR INSTRUCT,2026,0
DEPARTMENT OF EDUCATION,DIVISION OF BUSINESS + ADMIN,2026,0
DEPARTMENT OF EDUCATION,DIVISION OF HIGH SCHOOLS,2026,0
DEPARTMENT OF EDUCATION,MODULE 1-COMM SCH DIST ADMIN,2026,0
DEPARTMENT OF EDUCATION,MODULE 2-ELEM. INSTRUCTION,2026,0
DEPARTMENT OF EDUCATION,MODULE 2-J.H.S. INSTRUCTION,2026,0
DEPARTMENT OF EDUCATION,PUPIL TRANSPORTATION PROGRAM,2026,0
DEPARTMENT OF EDUCATION,REIMBURSABLE PROGRAMS,2026,0
DEPARTMENT OF EDUCATION,SCHOOL SAFETY PROGRAM,2026,0
DEPARTMENT OF EDUCATION,SPEC EDUC - BUSINESS & ADMIN,2026,0
DEPARTMENT OF EDUCATION,,2026,101221428252
DEPARTMENT OF EMERGENCY MANAGEMENT,ADMINISTRATION,2026,80070194
DEPARTMENT OF EMERGENCY MANAGEMENT,,2026,344828237
DEPARTMENT OF EMPLOYMENT,DOE ADMINISTRATION,2026,0
DEPARTMENT OF EMPLOYMENT,DOE EMPLOYMENT SERVICES,2026,0
DEPARTMENT OF EMPLOYMENT,,2026,0
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ACCO,2026,28823121
DEPARTMENT OF ENVIRONMENTAL PROTECT.,AIR NOISE AND HAZ MATERIALS,2026,127872978
DEPARTMENT OF ENVIRONMENTAL PROTECT.,CUSTOMER & CONSERVATION SERV,2026,198756590
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENGINEERING AUDITS,2026,7805436
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENVIORNMENTAL ASSESSMENT,2026,43537825
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENVIORNMENTAL ENGINEERING,2026,135856725
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENVIRONMENTAL HEALTH AND SAFETY,2026,56336319
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENVIRONMENT CONTROL BOARD,2026,0
DEPARTMENT OF ENVIRONMENTAL PROTECT.,EXECUTIVE + SUPPORT,2026,141904397
DEPARTMENT OF ENVIRONMENTAL PROTECT.,FLEET ADMINISTRATION,2026,30447237
DEPARTMENT OF ENVIRONMENTAL PROTECT.,GIARDIA SURVEILANCE,2026,1079001
DEPARTMENT OF ENVIRONMENTAL PROTECT.,HUMAN RESOURCES MGMT,2026,23647980
DEPARTMENT OF ENVIRONMENTAL PROTECT.,LEGAL AND LEGISLATIVE AFFAIRS,2026,96423631
DEPARTMENT OF ENVIRONMENTAL PROTECT.,MANAGEMENT AND BUDGET,2026,141853086
DEPARTMENT OF ENVIRONMENTAL PROTECT.,PUBLIC AFFAIRS,2026,20365733
DEPARTMENT OF ENVIRONMENTAL PROTECT.,WASTEWATER POLLUTION CONTROL,2026,1857908972
DEPARTMENT OF ENVIRONMENTAL PROTECT.,WATER AND SEWER OPERATIONS SYS,2026,784151267
DEPARTMENT OF ENVIRONMENTAL PROTECT.,WATER BOARD,2026,2597670
DEPARTMENT OF ENVIRONMENTAL PROTECT.,WATER SUPPLY QUALITY PROTECT,2026,1388255992
DEPARTMENT OF ENVIRONMENTAL PROTECT.,,2026,114277925
DEPARTMENT OF FINANCE,ADMINISTRATION,2026,190052841
DEPARTMENT OF FINANCE,ASSESSMENTS,2026,2928347
DEPARTMENT OF FINANCE,AUDIT,2026,21871416
DEPARTMENT OF FINANCE,CITY COLLECTOR,2026,8509209
DEPARTMENT OF FINANCE,CITY REGISTER,2026,14539263
DEPARTMENT OF FINANCE,CITY SHERIFF,2026,66208981
DEPARTMENT OF FINANCE,ENFORCEMENT,2026,25678836
DEPARTMENT OF FINANCE,EXECUTIVE,2026,61379660
DEPARTMENT OF FINANCE,LEGAL AFFAIRS,2026,22995352
DEPARTMENT OF FINANCE,MANAGEMENT INFORMATION SERVICE,2026,149717451
DEPARTMENT OF FINANCE,PARKING VIOLATIONS OPERATIONS,2026,267121
DEPARTMENT OF FINANCE,PROCESSING,2026,3893199
DEPARTMENT OF FINANCE,PROPERTY EXECUTIVE,2026,79054326
DEPARTMENT OF FINANCE,REVENUE OPERATIONS COLLECTIONS,2026,23345870
DEPARTMENT OF FINANCE,REVENUE OPERATIONS EXECUTIVE,2026,20765343
DEPARTMENT OF FINANCE,REVIEW AND SUPPORT,2026,1230885
DEPARTMENT OF FINANCE,REV OP BUSINESS TAX REVENUE,2026,2564691
DEPARTMENT OF FINANCE,REV OPER REVENUE ACCOUNTING,2026,19989162
DEPARTMENT OF FINANCE,TAX APPEALS TRIBUNAL,2026,0
DEPARTMENT OF FINANCE,TAX PAYER COMPLIANCE,2026,38052655
DEPARTMENT OF FINANCE,,2026,322518479
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ADMINISTRATION,2026,927251176
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,BIOSTATISTICS,2026,30026036
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CHIEF MEDICAL EXAMINER,2026,335045134
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,DISTRICT SERVICES,2026,48188701
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ENVIRONMENTAL HEALTH SERVICES,2026,524428887
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,EPIDEMIOLOGY AND PREVENTION,2026,1759341815
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,LABORATORIES,2026,29905510
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,LEGAL,2026,35865379
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MATERNAL & CHILD HEALTH,2026,783399110
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MENTAL HEALTH SERVICES,2026,2277773208
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,OFFICE OF THE COMMISSIONER,2026,22437508
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,OPERATIONS SUPPORT,2026,17954374
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PRISON HEALTH SERVICES,2026,94017900
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,,2026,1303251091
DEPARTMENT OF HOMELESS SERVICES,Administration,2026,-486112322
DEPARTMENT OF HOMELESS SERVICES,Adult Services,2026,4573804825
DEPARTMENT OF HOMELESS SERVICES,Budget,2026,6648068
DEPARTMENT OF HOMELESS SERVICES,"Capacity, Planning and Development (CPD)",2026,7984704
DEPARTMENT OF HOMELESS SERVICES,Executive Administration,2026,5514660
DEPARTMENT OF HOMELESS SERVICES,Facilities and Logistics,2026,56149739
DEPARTMENT OF HOMELESS SERVICES,Family Services,2026,3577725056
DEPARTMENT OF HOMELESS SERVICES,Housing Emergency Referral Op. (HERO),2026,17426362
DEPARTMENT OF HOMELESS SERVICES,Intake & Assessment Security,2026,35214645
DEPARTMENT OF HOMELESS SERVICES,Mental Health Security,2026,41973423
DEPARTMENT OF HOMELESS SERVICES,MRCC,2026,4241204
DEPARTMENT OF HOMELESS SERVICES,Operation Administration,2026,28188037
DEPARTMENT OF HOMELESS SERVICES,Placement Division,2026,94200
DEPARTMENT OF HOMELESS SERVICES,Program Development,2026,6583644
DEPARTMENT OF HOMELESS SERVICES,Public Private Partnerships,2026,1273299
DEPARTMENT OF HOMELESS SERVICES,Rehousing Division,2026,26976951
DEPARTMENT OF HOMELESS SERVICES,Security Administration,2026,17966856
DEPARTMENT OF HOMELESS SERVICES,Shelter Intake,2026,147341501
DEPARTMENT OF HOMELESS SERVICES,Shelter Operations,2026,80428745
DEPARTMENT OF HOMELESS SERVICES,Shelter Oversight,2026,94200
DEPARTMENT OF HOMELESS SERVICES,Shelter Security,2026,9268863
DEPARTMENT OF HOMELESS SERVICES,Street Homelessness Solutions,2026,29992696
DEPARTMENT OF HOMELESS SERVICES,Street Homeless Solutions,2026,4124931
DEPARTMENT OF HOMELESS SERVICES,Support Services,2026,25767896
DEPARTMENT OF HOMELESS SERVICES,,2026,4123074026
DEPARTMENT OF INFO TECH & TELECOMM,311/NYC.GOV OPERATIONS,2026,169370970
DEPARTMENT OF INFO TECH & TELECOMM,Application Development Management,2026,59162252
DEPARTMENT OF INFO TECH & TELECOMM,CHIEF OF STAFF,2026,571435
DEPARTMENT OF INFO TECH & TELECOMM,Chief Technology Officer,2026,71289521
DEPARTMENT OF INFO TECH & TELECOMM,CITYWIDE SUPPORT,2026,224865330
DEPARTMENT OF INFO TECH & TELECOMM,COMMISSIONER'S OFFICE,2026,42393698
DEPARTMENT OF INFO TECH & TELECOMM,Customer Experience Management,2026,0
DEPARTMENT OF INFO TECH & TELECOMM,Cyber Security,2026,2799060
DEPARTMENT OF INFO TECH & TELECOMM,Data Management Integration,2026,656534
DEPARTMENT OF INFO TECH & TELECOMM,Division of Administration,2026,466540396
DEPARTMENT OF INFO TECH & TELECOMM,ECTP,2026,407286238
DEPARTMENT OF INFO TECH & TELECOMM,First Deputy Commissioner's Office,2026,77
DEPARTMENT OF INFO TECH & TELECOMM,GENERAL COUNSEL,2026,12738374
DEPARTMENT OF INFO TECH & TELECOMM,HHS Connect,2026,0
DEPARTMENT OF INFO TECH & TELECOMM,NYC Cyber Command,2026,333670546
DEPARTMENT OF INFO TECH & TELECOMM,NYC MEDIA GROUP,2026,101068282
DEPARTMENT OF INFO TECH & TELECOMM,Office of Information Privacy,2026,56782
DEPARTMENT OF INFO TECH & TELECOMM,"Policy, Planning & Communications",2026,0
DEPARTMENT OF INFO TECH & TELECOMM,Service Management,2026,306481
DEPARTMENT OF INFO TECH & TELECOMM,Technology Development Corporation,2026,12396086
DEPARTMENT OF INFO TECH & TELECOMM,TECHNOLOGY SERVICES,2026,701125222
DEPARTMENT OF INFO TECH & TELECOMM,,2026,196254108
DEPARTMENT OF INVESTIGATION,BACKGROUND COMPLAINTS FINGPRT,2026,4140962
DEPARTMENT OF INVESTIGATION,EXECUTIVE,2026,12032430
DEPARTMENT OF INVESTIGATION,INSPECTOR GENERAL,2026,10689228
DEPARTMENT OF INVESTIGATION,INSPECTOR GENERAL-IC,2026,27474186
DEPARTMENT OF INVESTIGATION,INVESTIGATIONS MANAGMENT,2026,3000
DEPARTMENT OF INVESTIGATION,MANAGEMENT+ADMIN,2026,13401259
DEPARTMENT OF INVESTIGATION,,2026,122608389
DEPARTMENT OF JUVENILE JUSTICE,CENTRAL OFFICE,2026,0
DEPARTMENT OF JUVENILE JUSTICE,NON-SECURE DETENTION,2026,0
DEPARTMENT OF JUVENILE JUSTICE,SECURE DETENTION,2026,0
DEPARTMENT OF JUVENILE JUSTICE,,2026,0
DEPARTMENT OF MENTAL HEALTH,CONVERSION NAME,2026,0
DEPARTMENT OF PARKS AND RECREATION,BRONX OPERATIONS,2026,112347436
DEPARTMENT OF PARKS AND RECREATION,BRONX RECREATION,2026,11326358
DEPARTMENT OF PARKS AND RECREATION,BROOKLYN OPERATIONS,2026,149060293
DEPARTMENT OF PARKS AND RECREATION,BROOKLYN RECREATION,2026,15838122
DEPARTMENT OF PARKS AND RECREATION,CAPITAL PROJECTS,2026,153365313
DEPARTMENT OF PARKS AND RECREATION,CENTRAL OPERATIONS,2026,287095627
DEPARTMENT OF PARKS AND RECREATION,CENTRAL RECREATION,2026,17729694
DEPARTMENT OF PARKS AND RECREATION,CHIEF OF CONCESSIONS,2026,2729814
DEPARTMENT OF PARKS AND RECREATION,CITYWIDE SERVICES,2026,6304642
DEPARTMENT OF PARKS AND RECREATION,COMMISSIONER PARKS + RECREAT,2026,1590690
DEPARTMENT OF PARKS AND RECREATION,DEP COMMISSIONER OF OPERATIONS,2026,10162275
DEPARTMENT OF PARKS AND RECREATION,DEPUTY COMMISSIONER-PLANNING,2026,1757325
DEPARTMENT OF PARKS AND RECREATION,DEPUTY COMM OF MGMT,2026,144963638
DEPARTMENT OF PARKS AND RECREATION,EXECUTIVE MGMT AND ADMIN SVCS,2026,385947
DEPARTMENT OF PARKS AND RECREATION,FIVE BORO,2026,86484767
DEPARTMENT OF PARKS AND RECREATION,MANHATTAN OPERATIONS,2026,158862393
DEPARTMENT OF PARKS AND RECREATION,MANHATTAN RECREATION,2026,24277005
DEPARTMENT OF PARKS AND RECREATION,QUEENS OPERATIONS,2026,150768287
DEPARTMENT OF PARKS AND RECREATION,QUEENS RECREATION,2026,15629370
DEPARTMENT OF PARKS AND RECREATION,STATEN ISLAND OPERATIONS,2026,71153634
DEPARTMENT OF PARKS AND RECREATION,STATEN ISLAND RECREATION,2026,6843266
DEPARTMENT OF PARKS AND RECREATION,URBAN PARK SERVICES,2026,104280949
DEPARTMENT OF PARKS AND RECREATION,,2026,418460491
DEPARTMENT OF PROBATION,ASSIST-DIR-BRONX-FAM+ADULT SER,2026,3527694
DEPARTMENT OF PROBATION,ASSIST-DIR-KINGS-FAM+ADULT SER,2026,52777954
DEPARTMENT OF PROBATION,ASSIST-DIR-MAN-FAM + ADULT SER,2026,130888755
DEPARTMENT OF PROBATION,OFFICE OF THE DIRECTOR,2026,72997087
DEPARTMENT OF PROBATION,SUPPLEMENTARY PROBATION SERV,2026,24281174
DEPARTMENT OF PROBATION,,2026,89672699
DEPARTMENT OF RECORDS & INFORMATION SVS,ADMINISTRATION,2026,37902919
DEPARTMENT OF RECORDS & INFORMATION SVS,GOVERNMENT INFO SERV. RECORDS,2026,784277
DEPARTMENT OF RECORDS & INFORMATION SVS,GOVERNMENT INFO SERV-REFERENCE,2026,782673
DEPARTMENT OF RECORDS & INFORMATION SVS,PLANNING + MANAGEMENT-RECORDS,2026,1962255
DEPARTMENT OF RECORDS & INFORMATION SVS,PUBLIC INFO SERV-GENERAL REF,2026,4970655
DEPARTMENT OF RECORDS & INFORMATION SVS,,2026,-207117
DEPARTMENT OF SANITATION,ADMINISTRATION,2026,154152884
DEPARTMENT OF SANITATION,AUXILIARY FIELD & FACILITY,2026,5818752
DEPARTMENT OF SANITATION,BKLYN EAST DIST #13,2026,19555431
DEPARTMENT OF SANITATION,BKLYN EAST DIST #14,2026,25230975
DEPARTMENT OF SANITATION,BKLYN EAST DIST #15,2026,32701137
DEPARTMENT OF SANITATION,BKLYN EAST DIST #16,2026,19461678
DEPARTMENT OF SANITATION,BKLYN EAST DIST #17,2026,26107347
DEPARTMENT OF SANITATION,BKLYN EAST DIST #18,2026,34683957
DEPARTMENT OF SANITATION,BKLYN EAST DIST #9,2026,18539337
DEPARTMENT OF SANITATION,BKLYN NORTH BORO OFFICE ADMIN,2026,13151055
DEPARTMENT OF SANITATION,BKLYN NORTH DIST #1,2026,29983233
DEPARTMENT OF SANITATION,BKLYN NORTH DIST #2,2026,19531191
DEPARTMENT OF SANITATION,BKLYN NORTH DIST #3,2026,24748038
DEPARTMENT OF SANITATION,BKLYN NORTH DIST #4,2026,22894587
DEPARTMENT OF SANITATION,BKLYN NORTH DIST #5,2026,24212622
DEPARTMENT OF SANITATION,BKLYN NORTH DIST #8,2026,22097595
DEPARTMENT OF SANITATION,BKLYN WEST BORO OFFICE ADMIN,2026,24581136
DEPARTMENT OF SANITATION,BKLYN WEST DIST # 10,2026,35155659
DEPARTMENT OF SANITATION,BKLYN WEST DIST 11,2026,33198264
DEPARTMENT OF SANITATION,BKLYN WEST DIST 12,2026,32404983
DEPARTMENT OF SANITATION,BKLYN WEST DIST # 6,2026,22195278
DEPARTMENT OF SANITATION,BKLYN WEST DIST # 7,2026,28546401
DEPARTMENT OF SANITATION,BRONX EAST BORO OFFICE ADMIN,2026,21969477
DEPARTMENT OF SANITATION,BRONX EAST DIST # 10,2026,19316040
DEPARTMENT OF SANITATION,BRONX EAST DIST # 11,2026,18640698
DEPARTMENT OF SANITATION,BRONX EAST DIST # 12,2026,22340757
DEPARTMENT OF SANITATION,BRONX EAST DIST # 6,2026,14877531
DEPARTMENT OF SANITATION,BRONX EAST DIST # 9,2026,16268925
DEPARTMENT OF SANITATION,BRONX WEST DIST # 1,2026,12187452
DEPARTMENT OF SANITATION,BRONX WEST DIST # 2,2026,12140862
DEPARTMENT OF SANITATION,BRONX WEST DIST # 3,2026,6506778
DEPARTMENT OF SANITATION,BRONX WEST DIST # 4,2026,15925665
DEPARTMENT OF SANITATION,BRONX WEST DIST # 5,2026,15656331
DEPARTMENT OF SANITATION,BRONX WEST DIST # 7,2026,16095957
DEPARTMENT OF SANITATION,BRONX WEST DIST # 8,2026,17013438
DEPARTMENT OF SANITATION,BRONX WEST MECHANICAL BROOMS,2026,10185126
DEPARTMENT OF SANITATION,BUILDING MANAGEMENT,2026,105940600
DEPARTMENT OF SANITATION,CAPITAL BUDGET,2026,2239359
DEPARTMENT OF SANITATION,CHARTER MANDATED SNOW BUDGET,2026,258203271
DEPARTMENT OF SANITATION,CLEAN + COLLECTION ADMIN,2026,914557195
DEPARTMENT OF SANITATION,CLEANING & COLL EXEC MGMT,2026,895286804
DEPARTMENT OF SANITATION,COMMUNITY SERVICES,2026,11618217
DEPARTMENT OF SANITATION,DEPT ADVOCATE/EMPLOYMENT MATTE,2026,1866024
DEPARTMENT OF SANITATION,ENFORCEMENT,2026,53982366
DEPARTMENT OF SANITATION,EXECUTIVE MANAGEMENT,2026,355839447
DEPARTMENT OF SANITATION,HUMAN RESOURCES ADMINISTRATION,2026,9910494
DEPARTMENT OF SANITATION,LEGAL AFFAIRS,2026,7452039
DEPARTMENT OF SANITATION,LOT CLEANING,2026,40481635
DEPARTMENT OF SANITATION,MAN EAST DIST # 10,2026,16755195
DEPARTMENT OF SANITATION,MAN EAST DIST # 11,2026,15156642
DEPARTMENT OF SANITATION,MAN EAST DIST # 3,2026,23730219
DEPARTMENT OF SANITATION,MAN EAST DIST # 5,2026,14149494
DEPARTMENT OF SANITATION,MAN EAST DIST # 6,2026,25836486
DEPARTMENT OF SANITATION,MAN EAST DIST # 8,2026,32933352
DEPARTMENT OF SANITATION,MAN EAST MECHANICAL BROOMS,2026,9398232
DEPARTMENT OF SANITATION,MAN WEST BORO OFFICE ADMIN,2026,16689567
DEPARTMENT OF SANITATION,MAN WEST DIST # 1,2026,13884225
DEPARTMENT OF SANITATION,MAN WEST DIST # 12,2026,27909792
DEPARTMENT OF SANITATION,MAN WEST DIST # 2,2026,18210357
DEPARTMENT OF SANITATION,MAN WEST DIST # 4,2026,19089069
DEPARTMENT OF SANITATION,MAN WEST DIST # 7,2026,30498357
DEPARTMENT OF SANITATION,MAN WEST DIST # 9,2026,13652091
DEPARTMENT OF SANITATION,MAN WEST MECHANICAL BROOMS,2026,8377440
DEPARTMENT OF SANITATION,MARINE TRANSPORT DIVISION,2026,124392
DEPARTMENT OF SANITATION,MARINE UNLOADING,2026,18431298
DEPARTMENT OF SANITATION,MOTOR EQUIPMENT ADMINISTRATION,2026,311517678
DEPARTMENT OF SANITATION,MTS DIV,2026,59863416
DEPARTMENT OF SANITATION,QUEENS NORTH BORO OFFICE ADMIN,2026,29218008
DEPARTMENT OF SANITATION,QUEENS NORTH DIST # 11,2026,31365108
DEPARTMENT OF SANITATION,QUEENS NORTH DIST # 7,2026,41975841
DEPARTMENT OF SANITATION,QUEENS NORTH DIST # 8,2026,30617118
DEPARTMENT OF SANITATION,QUEENS SOUTH BORO OFFICE ADMIN,2026,3640149
DEPARTMENT OF SANITATION,QUEENS SOUTH DIST #10,2026,27425823
DEPARTMENT OF SANITATION,QUEENS SOUTH DIST #12,2026,39597654
DEPARTMENT OF SANITATION,QUEENS SOUTH DIST #13,2026,42065865
DEPARTMENT OF SANITATION,QUEENS SOUTH DISTRICT #14,2026,23224788
DEPARTMENT OF SANITATION,QUEENS WEST BORO OFFICE ADMIN,2026,19206230
DEPARTMENT OF SANITATION,QUEENS WEST DIST #1,2026,31825284
DEPARTMENT OF SANITATION,QUEENS WEST DIST #2,2026,20264784
DEPARTMENT OF SANITATION,QUEENS WEST DIST #3,2026,21573582
DEPARTMENT OF SANITATION,QUEENS WEST DIST #4,2026,19908669
DEPARTMENT OF SANITATION,QUEENS WEST DIST #5,2026,38564856
DEPARTMENT OF SANITATION,QUEENS WEST DIST #6,2026,18430542
DEPARTMENT OF SANITATION,QUEENS WEST DIST #9,2026,26863788
DEPARTMENT OF SANITATION,SOLID WASTE MGMT AND PLANNING,2026,3805538
DEPARTMENT OF SANITATION,SOLID WASTE MGNT & LANDFILL PLANNING,2026,35491508
DEPARTMENT OF SANITATION,STATEN ISLAD BORO OFFICE ADMIN,2026,9880733
DEPARTMENT OF SANITATION,STATEN ISLAND DIST # 1,2026,48331662
